user_name,task_id,task_title,session_order,started_at,ended_at,session_elapsed_minutes,elapsed_minutes,progress_percent,focus_raw,focus_level,previous_ai_total_minutes,updated_ai_total_minutes,actual_minutes,error_minutes_updated_total_minus_actual,absolute_error_minutes,absolute_percentage_error,progress_based_remaining_minutes,normalized_remaining_minutes,blending_weight,final_remaining_minutes,focus_weight
세진,1,알고리즘 - 수학 공부,1,2026-03-20 20:13,2026-03-20 21:00,48.0,48.0,30.0,LOW,LOW,148.5,143.05,233.0,-89.95,89.95,38.61,112.0,89.6,0.5,95.05,0.8
세진,1,알고리즘 - 수학 공부,2,2026-03-20 23:02,2026-03-21 00:14,72.0,120.0,40.0,MEDIUM,MEDIUM,143.05,221.53,233.0,-11.47,11.47,4.92,180.0,180.0,0.5,101.53,1.0
세진,1,알고리즘 - 수학 공부,3,2026-03-21 19:50,2026-03-21 21:17,87.0,207.0,90.0,HIGH,HIGH,221.53,233.29,233.0,0.29,0.29,0.13,23.0,27.6,0.9,26.29,1.2
세진,1,알고리즘 - 수학 공부,4,2026-03-21 23:15,2026-03-21 23:40,26.0,233.0,100.0,HIGH,HIGH,233.29,233.03,233.0,0.03,0.03,0.01,0.0,0.0,0.9,0.03,1.2
세진,3,캡디 자료조사 하기,1,2026-03-22 15:46,2026-03-22 17:30,104.0,104.0,80.0,MEDIUM,MEDIUM,270.07,165.02,184.0,-18.98,18.98,10.32,26.0,26.0,0.75,61.02,1.0
세진,3,캡디 자료조사 하기,2,2026-03-22 18:45,2026-03-22 20:05,80.0,184.0,100.0,MEDIUM,MEDIUM,165.02,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,1.0
세진,4,악성 코드 조사 및 정리하기,1,2026-03-23 19:08,2026-03-23 21:01,113.0,113.0,100.0,MEDIUM,MEDIUM,126.14,114.31,113.0,1.31,1.31,1.16,0.0,0.0,0.9,1.31,1.0
세진,2,알고리즘 - 이분탐색 공부,1,2026-03-21 23:58,2026-03-22 00:09,11.0,11.0,10.0,MEDIUM,MEDIUM,99.21,101.91,227.0,-125.09,125.09,55.11,99.0,99.0,0.25,90.91,1.0
세진,2,알고리즘 - 이분탐색 공부,2,2026-03-23 23:45,2026-03-24 01:11,87.0,98.0,20.0,VERY_HIGH,VERY_HIGH,101.91,247.93,227.0,20.93,20.93,9.22,392.0,588.0,0.25,149.93,1.5
세진,2,알고리즘 - 이분탐색 공부,3,2026-03-24 01:27,2026-03-24 01:42,15.0,113.0,30.0,VERY_HIGH,VERY_HIGH,247.93,378.22,227.0,151.22,151.22,66.61,263.67,395.5,0.5,265.22,1.5
세진,2,알고리즘 - 이분탐색 공부,4,2026-03-24 09:36,2026-03-24 10:31,55.0,168.0,50.0,HIGH,HIGH,378.22,373.91,227.0,146.91,146.91,64.72,168.0,201.6,0.5,205.91,1.2
세진,2,알고리즘 - 이분탐색 공부,5,2026-03-24 13:10,2026-03-24 14:09,59.0,227.0,100.0,VERY_HIGH,VERY_HIGH,373.91,241.69,227.0,14.69,14.69,6.47,0.0,0.0,0.9,14.69,1.5
세진,5,알고리즘 - 이진 검색 트리,1,2026-03-24 15:12,2026-03-24 15:50,37.0,37.0,40.0,LOW,LOW,100.92,91.16,56.0,35.16,35.16,62.78,55.5,44.4,0.5,54.16,0.8
세진,5,알고리즘 - 이진 검색 트리,2,2026-03-24 20:08,2026-03-24 20:19,11.0,48.0,50.0,MEDIUM,MEDIUM,91.16,93.58,56.0,37.58,37.58,67.11,48.0,48.0,0.5,45.58,1.0
세진,5,알고리즘 - 이진 검색 트리,3,2026-03-25 12:13,2026-03-25 12:21,8.0,56.0,100.0,MEDIUM,MEDIUM,93.58,59.76,56.0,3.76,3.76,6.71,0.0,0.0,0.9,3.76,1.0
세진,6,워게임 rev-basic 9문제 풀기,1,2026-04-12 20:45,2026-04-12 21:15,30.0,30.0,20.0,HIGH,HIGH,241.34,224.51,166.0,58.51,58.51,35.25,120.0,144.0,0.25,194.51,1.2
세진,6,워게임 rev-basic 9문제 풀기,2,2026-04-13 19:19,2026-04-13 20:45,86.0,116.0,50.0,HIGH,HIGH,224.51,239.85,166.0,73.85,73.85,44.49,116.0,139.2,0.5,123.85,1.2
세진,6,워게임 rev-basic 9문제 풀기,3,2026-04-13 20:53,2026-04-13 21:43,50.0,166.0,100.0,HIGH,HIGH,239.85,173.39,166.0,7.39,7.39,4.45,0.0,0.0,0.9,7.39,1.2
세진,8,멀코컴 03 정리 마무리,1,2026-04-19 01:53,2026-04-19 02:48,55.0,55.0,90.0,VERY_HIGH,VERY_HIGH,59.77,63.73,73.0,-9.27,9.27,12.7,6.11,9.17,0.9,8.73,1.5
세진,8,멀코컴 03 정리 마무리,2,2026-04-19 02:54,2026-04-19 03:12,18.0,73.0,100.0,VERY_HIGH,VERY_HIGH,63.73,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,1.5
세진,7,운체보 개념 이해,1,2026-04-18 10:56,2026-04-18 11:24,28.0,28.0,15.0,HIGH,HIGH,432.24,378.78,1000.0,-621.22,621.22,62.12,158.67,190.4,0.25,350.78,1.2
세진,7,운체보 개념 이해,2,2026-04-18 11:43,2026-04-18 12:05,21.0,49.0,20.0,MEDIUM,MEDIUM,378.78,345.34,1000.0,-654.66,654.66,65.47,196.0,196.0,0.25,296.34,1.0
세진,7,운체보 개념 이해,3,2026-04-18 12:56,2026-04-18 13:30,34.0,83.0,25.0,MEDIUM,MEDIUM,345.34,342.0,1000.0,-658.0,658.0,65.8,249.0,249.0,0.25,259.0,1.0
